date;beds;units;persons;personsN;presonsR;beds0;units0
2021-08-04;292;39;75282;2653981;;6072;595
2021-08-05;298;42;74265;2654097;;6067;595
2021-08-06;296;42;72166;2654224;;6067;595
2021-08-07;307;44;72394;2654359;;6057;585
2021-08-08;310;48;71091;2654483;;6058;585
2021-08-09;313;50;69832;2654624;;6059;585
2021-08-10;307;48;70771;2654677;;6020;575
2021-08-11;300;44;68287;2654751;;6020;575
2021-08-12;313;48;66847;2654874;;6039;580
2021-08-13;309;46;66472;2655014;;6038;580
2021-08-14;315;46;65896;2655183;;6039;580
2021-08-15;317;45;63672;2655313;;6039;580
2021-08-16;317;49;62393;2655441;;6038;580
2021-08-17;335;48;63155;2655543;;6039;580
2021-08-18;344;48;61500;2655588;;6038;580
2021-08-19;353;46;60042;2655781;;6002;580
2021-08-20;359;41;59999;2655891;;6002;580
2021-08-21;359;40;60581;2656018;;5998;578
2021-08-22;340;36;58540;2656143;;5995;578
2021-08-23;356;38;57384;2656317;;5995;578
2021-08-24;385;44;59147;2656355;;5997;578
2021-08-25;374;46;58125;2656342;;6002;578
2021-08-26;371;47;56581;2656507;;6000;578
2021-08-27;388;48;55764;2656635;;6000;578
2021-08-28;406;50;55511;2656708;;6001;578
2021-08-29;403;57;53308;2656855;;6001;578
2021-08-30;429;56;52181;2657054;;6002;578
2021-08-31;465;60;53487;2657084;;6002;578
2021-09-01;475;55;52777;2657082;;6002;578
2021-09-02;478;56;51690;2657177;;6013;578
2021-09-03;490;58;51790;2657274;;6017;578
2021-09-04;498;61;53037;2657330;;6017;578
2021-09-05;500;60;53014;2657527;;6016;578
2021-09-06;529;64;53752;2657745;;6017;578
2021-09-07;570;63;58516;2657702;;6005;577
2021-09-08;588;66;60540;2657686;;6005;579
2021-09-09;594;77;62438;2657776;;6013;579
2021-09-10;623;78;65782;2657981;;6020;579
2021-09-11;666;82;69208;2658101;;6032;590
2021-09-12;675;85;68974;2658374;;6027;591
2021-09-13;704;80;69160;2658685;;6015;583
2021-09-14;782;82;77317;2658613;;6036;591
2021-09-15;823;91;77989;2658512;;6068;596
2021-09-16;881;95;79410;2658636;;6099;596
2021-09-17;911;101;82237;2658812;;6115;596
2021-09-18;980;110;84180;2659020;;6140;596
2021-09-19;1020;111;81151;2659483;;6139;596
2021-09-20;1070;113;79325;2659912;;6140;596
2021-09-21;1142;120;86101;2659952;;6144;596
2021-09-22;1179;124;85170;2659840;;6214;608
2021-09-23;1209;133;86107;2660036;;6237;613
2021-09-24;1258;138;87576;2660438;;6255;621
2021-09-25;1312;147;87812;2660776;;6288;628
2021-09-26;1343;148;83104;2661349;;6324;629
2021-09-27;1384;153;78620;2662008;;6330;629
2021-09-28;1529;168;84820;2662115;;6403;644
2021-09-29;1566;174;83537;2662132;;6429;647
2021-09-30;1614;172;84962;2662484;;6510;654
2021-10-01;1687;172;87719;2663087;;6549;658
2021-10-02;1673;174;89515;2663707;;6638;662
2021-10-03;1718;166;84280;2664356;;6674;663
2021-10-04;1840;170;81016;2665103;;6678;663
2021-10-05;1963;195;89204;2665239;;6989;700
2021-10-06;2013;190;89217;2665251;;7096;733
2021-10-07;2103;207;95647;2665829;;7128;745
2021-10-08;2141;203;102759;2666589;;7212;745
2021-10-09;2273;214;105696;2667431;;7416;778
2021-10-10;2327;226;100756;2668521;;7465;778
2021-10-11;2423;231;96742;2669688;;7463;777
2021-10-12;2615;239;104753;2670180;;7551;795
2021-10-13;2722;239;102245;2670394;;7646;818
2021-10-14;2796;248;111191;2671199;;7737;831
2021-10-15;2877;257;120973;2672656;;7765;831
2021-10-16;3012;281;123871;2674093;;7928;834
2021-10-17;3077;282;116255;2675821;;8005;831
2021-10-18;3264;296;113597;2677537;;8032;829
2021-10-19;3592;318;128780;2678296;;8180;841
2021-10-21;4034;333;157147;2679824;;8552;876
2021-10-22;4264;353;181800;2681591;;8739;910
2021-10-23;4559;399;194705;2683645;;9126;937
2021-10-24;4706;430;185877;2686129;;9378;955
2021-10-25;5042;444;165527;2688899;;9494;964
2021-10-26;5416;449;199527;2690118;;9986;979
2021-10-28;5863;495;253059;2693373;;10716;1030
2021-10-29;6175;521;287770;2697544;;10968;1045
2021-10-30;6603;545;298687;2702040;;11590;1085
2021-10-31;6866;580;283057;2706968;;12069;1115
2021-11-01;7204;603;267276;2713002;;12085;1117
2021-11-02;7550;634;246677;2717052;;12189;1133
2021-11-03;8257;692;256015;2718452;;12867;1185
2021-11-04;8595;713;320597;2722984;;13505;1249
2021-11-05;8897;742;380092;2729487;;13851;1290
2021-11-06;9473;798;400821;2736292;;15042;1366
2021-11-07;9788;857;376479;2744315;;15586;1412
2021-11-08;10221;872;351367;2753325;;15677;1430
2021-11-09;11010;914;381895;2758458;;16570;1477
2021-11-10;11588;951;343539;2761194;;17137;1529
2021-11-11;12030;1006;402311;2764351;;17830;1587
2021-11-12;12419;1063;410504;2774179;;18216;1639
2021-11-13;13121;1110;470973;2788003;;18767;1695
2021-11-14;13573;1159;441766;2802616;;19061;1721
2021-11-15;14123;1204;410483;2817206;;19122;1742
2021-11-16;14906;1270;449589;2827027;;20203;1823
2021-11-17;15316;1326;436285;2831903;;20788;1913
2021-11-18;15713;1345;503419;2843270;;21692;1991
2021-11-19;16093;1381;562077;2858972;;22310;2053
2021-11-20;16480;1423;569756;2876042;;22934;2099
2021-11-21;16733;1487;515155;2887847;;23074;2122
2021-11-22;17358;1526;381821;2901800;;23272;2149
2021-11-23;18320;1551;490136;2913320;;24182;2181
2021-11-24;18707;1613;573585;2919578;;24533;2225
2021-11-25;19087;1657;660170;2934027;;24927;2269
2021-11-26;19332;1687;738716;2955478;;25261;2293
2021-11-27;19707;1752;744912;2978108;;25876;2364
2021-11-28;20067;1816;684516;3000312;;26406;2437
2021-11-29;20521;1820;633857;3022771;;26481;2438
2021-11-30;21172;1825;681485;3038451;;27232;2460
2021-12-01;21332;1870;631843;3048528;;27694;2523
2021-12-02;21550;1862;713321;3066218;;28715;2603
2021-12-03;22035;1968;782044;3091259;;28967;2653
2021-12-04;22350;1978;761786;3116875;;29575;2677
2021-12-05;22264;1969;684521;3142265;;29688;2681
2021-12-06;22778;1989;616905;3167754;;29843;2706
2021-12-07;23604;2036;643181;3184676;;30263;2736
2021-12-08;23453;2026;588603;3194731;;30423;2753
2021-12-09;23433;2053;662036;3211558;;30619;2772
2021-12-10;23706;2070;716951;3237017;;30883;2788
2021-12-11;23755;2104;700741;3263563;;31144;2827
2021-12-12;23644;2142;625426;3289117;;31255;2845
2021-12-13;24051;2152;566736;3314243;;31319;2845
2021-12-14;24542;2132;595398;3333313;;31447;2845
2021-12-15;24275;2114;546785;3344222;;31500;2852
2021-12-16;23963;2130;599888;3361528;;31539;2888
2021-12-17;23795;2106;638240;3386221;;31606;2887
2021-12-18;23641;2088;589220;3412313;;31626;2885
2021-12-19;23219;2113;512473;3435983;;31586;2896
2021-12-20;23612;2116;445032;3458870;;31650;2891
2021-12-21;23858;2058;438862;3475397;;31859;2897
2021-12-22;23248;2053;383232;3484352;;31869;2883
2021-12-23;22543;2080;397998;3500570;;31923;2885
2021-12-24;21703;2061;398991;3522816;;31901;2898
2021-12-25;20916;2046;339489;3543828;;31795;2894
2021-12-26;20838;2028;289150;3563434;;31761;2883
2021-12-27;21109;2069;251467;3582296;;31749;2886
2021-12-28;21283;2006;250422;3595914;;31771;2869
2021-12-29;20822;1931;216020;3602702;;31706;2853
2021-12-30;20433;1930;218542;3614290;;31713;2846
2021-12-31;19936;1910;213742;3630119;;31678;2850
2022-01-01;19408;1897;193405;3645692;;31625;2855
2022-01-02;19135;1894;167845;3660444;;31361;2839
2022-01-03;19493;1880;153577;3670066;;31351;2834
2022-01-04;19636;1833;175490;3673234;;31009;2809
2022-01-05;19264;1854;183605;3675359;;30959;2813
2022-01-06;18748;1836;186569;3683571;;30925;2820
2022-01-07;18439;1858;165506;3697523;;30888;2822
2022-01-08;18286;1825;167110;3710065;;30818;2811
2022-01-09;18063;1825;151583;3722575;;30806;2798
2022-01-10;18160;1790;140355;3734338;;30830;2805
2022-01-11;18095;1737;167062;3737797;;30799;2803
2022-01-12;17155;1682;183295;3741583;;30781;2790
2022-01-13;16307;1654;202367;3751459;;30783;2786
2022-01-14;15656;1600;226269;3765613;;30746;2758
