date;time;woj;newc;newd;totalc;totald
2020-05-03;13:00;lubuskie;1;0;88;0
2020-05-03;13:00;mazowieckie;31;0;2508;207
2020-05-03;13:00;małopolskie;10;0;944;31
2020-05-03;13:00;opolskie;15;0;422;28
2020-05-03;13:00;podkarpackie;9;1;350;24
2020-05-03;13:00;podlaskie;1;0;378;5
2020-05-03;13:00;pomorskie;4;1;444;15
2020-05-03;13:00;warmińsko-mazurskie;0;0;148;1
2020-05-03;13:00;wielkopolskie;24;3;1518;93
2020-05-03;13:00;zachodniopomorskie;8;0;414;10
2020-05-03;13:00;łódzkie;43;0;1049;34
2020-05-03;13:00;śląskie;130;5;2576;127
