date;woj;typ;tests
2020-08-24;świętokrzyskie;T;61347
2020-08-24;świętokrzyskie;N;3617
2020-08-31;Polska;T;2714472
2020-08-31;Polska;N;158609
2020-08-31;dolnośląskie;T;214339
2020-08-31;dolnośląskie;N;7806
2020-08-31;kujawsko-pomorskie;T;134662
2020-08-31;kujawsko-pomorskie;N;9397
2020-08-31;lubelskie;T;112018
2020-08-31;lubelskie;N;6349
2020-08-31;lubuskie;T;33167
2020-08-31;lubuskie;N;1878
2020-08-31;mazowieckie;T;623026
2020-08-31;mazowieckie;N;31910
2020-08-31;małopolskie;T;248439
2020-08-31;małopolskie;N;16826
2020-08-31;opolskie;T;26462
2020-08-31;opolskie;N;1852
2020-08-31;podkarpackie;T;54673
2020-08-31;podkarpackie;N;2996
2020-08-31;podlaskie;T;67984
2020-08-31;podlaskie;N;3339
2020-08-31;pomorskie;T;204907
2020-08-31;pomorskie;N;16687
2020-08-31;warmińsko-mazurskie;T;69483
2020-08-31;warmińsko-mazurskie;N;3583
2020-08-31;wielkopolskie;T;254104
2020-08-31;wielkopolskie;N;10921
2020-08-31;zachodniopomorskie;T;109952
2020-08-31;zachodniopomorskie;N;8068
2020-08-31;łódzkie;T;179613
2020-08-31;łódzkie;N;11197
2020-08-31;śląskie;T;315853
2020-08-31;śląskie;N;21357
2020-08-31;świętokrzyskie;T;65790
2020-08-31;świętokrzyskie;N;4443
2020-09-07;Polska;T;2870363
2020-09-07;Polska;N;155891
2020-09-07;dolnośląskie;T;229785
2020-09-07;dolnośląskie;N;15446
2020-09-07;kujawsko-pomorskie;T;142185
2020-09-07;kujawsko-pomorskie;N;7523
2020-09-07;lubelskie;T;117528
2020-09-07;lubelskie;N;5510
2020-09-07;lubuskie;T;35272
2020-09-07;lubuskie;N;2105
2020-09-07;mazowieckie;T;650018
2020-09-07;mazowieckie;N;26992
2020-09-07;małopolskie;T;262860
2020-09-07;małopolskie;N;14421
2020-09-07;opolskie;T;28204
2020-09-07;opolskie;N;1742
2020-09-07;podkarpackie;T;57054
2020-09-07;podkarpackie;N;2381
2020-09-07;podlaskie;T;71538
2020-09-07;podlaskie;N;3554
2020-09-07;pomorskie;T;219511
2020-09-07;pomorskie;N;14604
2020-09-07;warmińsko-mazurskie;T;72582
2020-09-07;warmińsko-mazurskie;N;3099
2020-09-07;wielkopolskie;T;270794
2020-09-07;wielkopolskie;N;16690
2020-09-07;zachodniopomorskie;T;116791
2020-09-07;zachodniopomorskie;N;6839
2020-09-07;łódzkie;T;192264
2020-09-07;łódzkie;N;12651
2020-09-07;śląskie;T;334215
2020-09-07;śląskie;N;18362
2020-09-07;świętokrzyskie;T;69762
2020-09-07;świętokrzyskie;N;3972
2020-09-14;Polska;T;2998460
2020-09-14;Polska;N;128097
2020-09-14;dolnośląskie;T;240412
2020-09-14;dolnośląskie;N;10627
2020-09-14;kujawsko-pomorskie;T;150314
2020-09-14;kujawsko-pomorskie;N;8129
2020-09-14;lubelskie;T;122541
2020-09-14;lubelskie;N;5013
2020-09-14;lubuskie;T;36899
2020-09-14;lubuskie;N;1627
2020-09-14;mazowieckie;T;675236
2020-09-14;mazowieckie;N;25218
2020-09-14;małopolskie;T;273958
2020-09-14;małopolskie;N;11098
2020-09-14;opolskie;T;30087
2020-09-14;opolskie;N;1883
2020-09-14;podkarpackie;T;58486
2020-09-14;podkarpackie;N;1432
2020-09-14;podlaskie;T;74747
2020-09-14;podlaskie;N;3209
2020-09-14;pomorskie;T;232211
2020-09-14;pomorskie;N;12700
2020-09-14;warmińsko-mazurskie;T;75404
2020-09-14;warmińsko-mazurskie;N;2822
2020-09-14;wielkopolskie;T;282308
2020-09-14;wielkopolskie;N;11514
2020-09-14;zachodniopomorskie;T;122043
2020-09-14;zachodniopomorskie;N;5252
2020-09-14;łódzkie;T;201199
2020-09-14;łódzkie;N;8935
2020-09-14;śląskie;T;349628
2020-09-14;śląskie;N;15413
2020-09-14;świętokrzyskie;T;72987
2020-09-14;świętokrzyskie;N;3225
2020-09-21;Polska;T;3134312
2020-09-21;Polska;N;135852
2020-09-21;dolnośląskie;T;249631
2020-09-21;dolnośląskie;N;9219
2020-09-21;kujawsko-pomorskie;T;160139
2020-09-21;kujawsko-pomorskie;N;9825
2020-09-21;lubelskie;T;127760
2020-09-21;lubelskie;N;5219
2020-09-21;lubuskie;T;38450
2020-09-21;lubuskie;N;1551
2020-09-21;mazowieckie;T;700871
2020-09-21;mazowieckie;N;25635
2020-09-21;małopolskie;T;286200
2020-09-21;małopolskie;N;12242
2020-09-21;opolskie;T;31950
2020-09-21;opolskie;N;1863
2020-09-21;podkarpackie;T;60591
2020-09-21;podkarpackie;N;2105
2020-09-21;podlaskie;T;77795
2020-09-21;podlaskie;N;3048
2020-09-21;pomorskie;T;245390
2020-09-21;pomorskie;N;13179
2020-09-21;warmińsko-mazurskie;T;78309
2020-09-21;warmińsko-mazurskie;N;2905
2020-09-21;wielkopolskie;T;294658
2020-09-21;wielkopolskie;N;12350
2020-09-21;zachodniopomorskie;T;130549
2020-09-21;zachodniopomorskie;N;8506
2020-09-21;łódzkie;T;210794
2020-09-21;łódzkie;N;9595
2020-09-21;śląskie;T;365211
2020-09-21;śląskie;N;15583
2020-09-21;świętokrzyskie;T;76014
2020-09-21;świętokrzyskie;N;3027
2020-09-28;Polska;T;3282160
2020-09-28;Polska;N;147848
2020-09-28;dolnośląskie;T;259473
2020-09-28;dolnośląskie;N;9842
2020-09-28;kujawsko-pomorskie;T;170401
2020-09-28;kujawsko-pomorskie;N;10262
2020-09-28;lubelskie;T;133221
2020-09-28;lubelskie;N;5461
2020-09-28;lubuskie;T;40246
2020-09-28;lubuskie;N;1796
2020-09-28;mazowieckie;T;730026
2020-09-28;mazowieckie;N;29155
2020-09-28;małopolskie;T;298603
2020-09-28;małopolskie;N;12403
2020-09-28;opolskie;T;33896
2020-09-28;opolskie;N;1946
2020-09-28;podkarpackie;T;64103
2020-09-28;podkarpackie;N;3512
2020-09-28;podlaskie;T;81342
2020-09-28;podlaskie;N;3547
2020-09-28;pomorskie;T;259042
2020-09-28;pomorskie;N;13652
2020-09-28;warmińsko-mazurskie;T;81376
2020-09-28;warmińsko-mazurskie;N;3067
2020-09-28;wielkopolskie;T;308307
2020-09-28;wielkopolskie;N;13649
2020-09-28;zachodniopomorskie;T;138870
2020-09-28;zachodniopomorskie;N;8321
2020-09-28;łódzkie;T;221532
2020-09-28;łódzkie;N;10738
2020-09-28;śląskie;T;381650
2020-09-28;śląskie;N;16439
2020-09-28;świętokrzyskie;T;80072
2020-09-28;świętokrzyskie;N;4058
2020-10-05;Polska;T;3466445
2020-10-05;Polska;N;184285
2020-10-05;dolnośląskie;T;272465
2020-10-05;dolnośląskie;N;12992
2020-10-05;kujawsko-pomorskie;T;184538
2020-10-05;kujawsko-pomorskie;N;14137
2020-10-05;lubelskie;T;141779
2020-10-05;lubelskie;N;8558
2020-10-05;lubuskie;T;42527
2020-10-05;lubuskie;N;2281
2020-10-05;mazowieckie;T;764297
2020-10-05;mazowieckie;N;34271
2020-10-05;małopolskie;T;313937
2020-10-05;małopolskie;N;15334
2020-10-05;opolskie;T;35662
2020-10-05;opolskie;N;1766
2020-10-05;podkarpackie;T;65589
2020-10-05;podkarpackie;N;1486
2020-10-05;podlaskie;T;87599
2020-10-05;podlaskie;N;6257
2020-10-05;pomorskie;T;273937
2020-10-05;pomorskie;N;14895
2020-10-05;warmińsko-mazurskie;T;85536
2020-10-05;warmińsko-mazurskie;N;4160
2020-10-05;wielkopolskie;T;325918
2020-10-05;wielkopolskie;N;17611
2020-10-05;zachodniopomorskie;T;148411
