dat;powiat;nc
2020-04-18;sztumski;0
2020-04-18;kwidzyński;0
2020-04-18;kościerski;0
2020-04-18;nowodworski;0
2020-04-18;słupski;0
2020-04-18;lęborski;0
2020-04-18;człuchowski;0
2020-04-19;Gdynia;0
2020-04-19;Gdańsk;0
2020-04-19;Słupsk;0
2020-04-19;Sopot;0
2020-04-19;tczewski;0
2020-04-19;gdański;0
2020-04-19;kartuski;0
2020-04-19;bytowski;0
2020-04-19;malborski;0
2020-04-19;pucki;1
2020-04-19;wejherowski;0
2020-04-19;starogardzki;0
2020-04-19;chojnicki;0
2020-04-19;sztumski;0
2020-04-19;kwidzyński;0
2020-04-19;kościerski;0
2020-04-19;nowodworski;0
2020-04-19;słupski;0
2020-04-19;lęborski;0
2020-04-19;człuchowski;0
2020-04-20;Gdynia;0
2020-04-20;Gdańsk;0
2020-04-20;Słupsk;0
2020-04-20;Sopot;0
2020-04-20;tczewski;0
2020-04-20;gdański;0
2020-04-20;kartuski;0
2020-04-20;bytowski;0
2020-04-20;malborski;0
2020-04-20;pucki;0
2020-04-20;wejherowski;1
2020-04-20;starogardzki;1
2020-04-20;chojnicki;0
2020-04-20;sztumski;0
2020-04-20;kwidzyński;0
2020-04-20;kościerski;0
2020-04-20;nowodworski;0
2020-04-20;słupski;0
2020-04-20;lęborski;0
2020-04-20;człuchowski;0
2020-04-21;Gdynia;0
2020-04-21;Gdańsk;1
2020-04-21;Słupsk;0
2020-04-21;Sopot;0
2020-04-21;tczewski;0
2020-04-21;gdański;0
2020-04-21;kartuski;2
2020-04-21;bytowski;0
2020-04-21;malborski;0
2020-04-21;pucki;0
2020-04-21;wejherowski;1
2020-04-21;starogardzki;0
2020-04-21;chojnicki;0
2020-04-21;sztumski;0
2020-04-21;kwidzyński;0
2020-04-21;kościerski;0
2020-04-21;nowodworski;0
2020-04-21;słupski;0
2020-04-21;lęborski;0
2020-04-21;człuchowski;0
2020-04-22;Gdynia;0
2020-04-22;Gdańsk;7
2020-04-22;Słupsk;0
2020-04-22;Sopot;0
2020-04-22;tczewski;0
2020-04-22;gdański;0
2020-04-22;kartuski;1
2020-04-22;bytowski;0
2020-04-22;malborski;0
2020-04-22;pucki;0
2020-04-22;wejherowski;0
2020-04-22;starogardzki;0
2020-04-22;chojnicki;0
2020-04-22;sztumski;0
2020-04-22;kwidzyński;0
2020-04-22;kościerski;0
2020-04-22;nowodworski;0
2020-04-22;słupski;0
2020-04-22;lęborski;0
2020-04-22;człuchowski;0
2020-04-23;Gdynia;0
2020-04-23;Gdańsk;9
2020-04-23;Słupsk;0
2020-04-23;Sopot;0
2020-04-23;tczewski;2
2020-04-23;gdański;0
2020-04-23;kartuski;0
2020-04-23;bytowski;0
2020-04-23;malborski;0
2020-04-23;pucki;0
2020-04-23;wejherowski;0
2020-04-23;starogardzki;0
2020-04-23;chojnicki;0
2020-04-23;sztumski;0
2020-04-23;kwidzyński;0
2020-04-23;kościerski;0
2020-04-23;nowodworski;0
2020-04-23;słupski;0
2020-04-23;lęborski;0
2020-04-23;człuchowski;0
2020-04-24;Gdynia;0
2020-04-24;Gdańsk;4
2020-04-24;Słupsk;0
2020-04-24;Sopot;0
2020-04-24;tczewski;0
2020-04-24;gdański;2
2020-04-24;kartuski;2
2020-04-24;bytowski;1
2020-04-24;malborski;0
2020-04-24;pucki;0
2020-04-24;wejherowski;0
2020-04-24;starogardzki;0
2020-04-24;chojnicki;0
2020-04-24;sztumski;0
2020-04-24;kwidzyński;0
2020-04-24;kościerski;0
2020-04-24;nowodworski;0
2020-04-24;słupski;0
2020-04-24;lęborski;0
2020-04-24;człuchowski;0
2020-04-25;Gdynia;4
2020-04-25;Gdańsk;9
2020-04-25;Słupsk;0
2020-04-25;Sopot;0
2020-04-25;tczewski;0
2020-04-25;gdański;2
2020-04-25;kartuski;1
2020-04-25;bytowski;0
2020-04-25;malborski;0
2020-04-25;pucki;0
2020-04-25;wejherowski;0
2020-04-25;starogardzki;1
2020-04-25;chojnicki;0
2020-04-25;sztumski;0
2020-04-25;kwidzyński;0
2020-04-25;kościerski;0
2020-04-25;nowodworski;0
2020-04-25;słupski;0
2020-04-25;lęborski;0
2020-04-25;człuchowski;0
2020-04-26;Gdynia;0
2020-04-26;Gdańsk;8
2020-04-26;Słupsk;0
2020-04-26;Sopot;0
2020-04-26;tczewski;0
2020-04-26;gdański;1
2020-04-26;kartuski;1
2020-04-26;bytowski;0
2020-04-26;malborski;0
2020-04-26;pucki;0
2020-04-26;wejherowski;2
2020-04-26;starogardzki;1
2020-04-26;chojnicki;0
2020-04-26;sztumski;0
2020-04-26;kwidzyński;0
2020-04-26;kościerski;0
2020-04-26;nowodworski;0
2020-04-26;słupski;0
2020-04-26;lęborski;1
2020-04-26;człuchowski;0
2020-04-27;Gdynia;0
2020-04-27;Gdańsk;3
2020-04-27;Słupsk;0
2020-04-27;Sopot;0
2020-04-27;tczewski;0
2020-04-27;gdański;0
2020-04-27;kartuski;0
2020-04-27;bytowski;0
2020-04-27;malborski;0
2020-04-27;pucki;0
2020-04-27;wejherowski;2
2020-04-27;starogardzki;0
2020-04-27;chojnicki;0
2020-04-27;sztumski;0
2020-04-27;kwidzyński;0
2020-04-27;kościerski;0
2020-04-27;nowodworski;0
2020-04-27;słupski;0
2020-04-27;lęborski;0
2020-04-27;człuchowski;0
2020-04-28;Gdynia;2
2020-04-28;Gdańsk;10
2020-04-28;Słupsk;0
2020-04-28;Sopot;0
2020-04-28;tczewski;1
2020-04-28;gdański;2
2020-04-28;kartuski;0
2020-04-28;bytowski;0
2020-04-28;malborski;0
2020-04-28;pucki;0
2020-04-28;wejherowski;19
2020-04-28;starogardzki;0
2020-04-28;chojnicki;0
2020-04-28;sztumski;0
2020-04-28;kwidzyński;0
2020-04-28;kościerski;0
2020-04-28;nowodworski;0
2020-04-28;słupski;0
2020-04-28;lęborski;1
2020-04-28;człuchowski;0
2020-04-30;Gdynia;1
2020-04-30;Gdańsk;1
2020-04-30;Słupsk;0
2020-04-30;Sopot;0
2020-04-30;tczewski;0
2020-04-30;gdański;0
2020-04-30;kartuski;0
2020-04-30;bytowski;0
2020-04-30;malborski;1
